suna57278832,2014-09-20 21:37:02,RT @HumanAppeal: Human Appeal's water tankers recently arrived in Gaza to provide children with clean water :) http://t.co/9f6bj2052r
mervegokyar,2014-09-20 21:37:05,@ozzzaydin gaza gelme ibragaza gel :-D :-D tamam sustum.
jeczaja,2014-09-20 21:37:19,@bootsiecali @Mikoshoes17 The link is an online UN report-read it yourself. Why does mentioning Gaza bring hate to Israel?
lannndawg,2014-09-20 21:37:21,"Girl why is you lying, girl why you Mufasa.. Yeah, mi casa su casa, got a stripper like Gaza.."
JonalbertR77,2014-09-20 21:37:21,RT @Tarek_Dkrt: Un hombre versus un cobarde. #Gaza #Israel http://t.co/0k42KXptOG
carina_piru,2014-09-20 21:37:24,RT @rialjorge: Se dividieron en dos facciones las bailarinas de @cuervotinelli Lo de Gaza pasa a segundo plano. Listo.
KarineSchmidt,2014-09-20 21:37:45,Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/o7uxRHVvu8 via @FRANCE24
shakira2989,2014-09-20 21:37:49,"RT @alidwedar: Unfortunately 
#Gaza is not suitable for life http://t.co/61CVDb1SUV"
Bruciebabe,2014-09-20 21:37:51,"RT @alidwedar: Unfortunately 
#Gaza is not suitable for life http://t.co/61CVDb1SUV"
aliyu_as1,2014-09-20 21:37:56,"RT @Kochavva: South Africa stand with Gaza!!!
#ICheckTheLabel 
#BoycottIsrael 
#FreeGaza
#FreePalestine http://t.co/4xD63Npb2Y"
DiplomacyWorld1,2014-09-20 21:38:05,Two killed by unexploded Israeli bombs in Gaza - Haaretz http://t.co/XxZe3YlUeZ
DiplomacyPlaza,2014-09-20 21:38:06,Two killed by unexploded Israeli bombs in Gaza - Haaretz http://t.co/xM2ngyMV5n
Doyouf,2014-09-20 21:38:11,"Satuan Elit SAS di Balik Terbunuhnya Komandan Ahror Syam: Usai mereda serangan Israel ke Gaza, kini ba... http://t.co/Qln4KvfW3I #Kabari"
palembang_OL,2014-09-20 21:38:13,"VOA Muslim - Satuan Elit SAS di Balik Terbunuhnya Komandan Ahror Syam: Usai mereda serangan Israel ke Gaza, ki... http://t.co/CBKR8M7FoK"
CairoVip,2014-09-20 21:38:13,http://t.co/0LTNWAEOIF Gaza ceasefire indirect talks to resume in Egypt: Ramallah (Palestinian Territories) (AF... http://t.co/VPoglIf6xd
kemplangkrupuk,2014-09-20 21:38:14,"VOA Muslim - Satuan Elit SAS di Balik Terbunuhnya Komandan Ahror Syam: Usai mereda serangan Israel ke Gaza, ki... http://t.co/aTQPij7rR4"
kuedelapanjam,2014-09-20 21:38:14,"VOA Muslim - Satuan Elit SAS di Balik Terbunuhnya Komandan Ahror Syam: Usai mereda serangan Israel ke Gaza, ki... http://t.co/Bjda8lVrpq"
srikaya_srikayo,2014-09-20 21:38:14,"VOA Muslim - Satuan Elit SAS di Balik Terbunuhnya Komandan Ahror Syam: Usai mereda serangan Israel ke Gaza, ki... http://t.co/EfmhgTUB1u"
PandaKinges,2014-09-20 21:38:17,RT @FRANCE24: Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/OkAGjXk85P http://t.co/9wq2KlPs91
